YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601
5.7,5.6,5.5,5.4,5.4,5.3,5.2,5.1,5.1,5.0
34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,37601230.0,38037204.0
6491507.0,6548144.0,6603314.0,6655859.0,6691082.0,6752474.0,6815687.0,6890028.0,6962996.0,7013300.0
5614.35213522114,6300.61511825789,7020.33848453658,7636.11660125502,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381719921,10434.7751874839
14.6,13.5,12.5,11.6,10.7,9.9,9.2,8.5,7.9,7.3
1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1410929362.0
665644371.0,653193546.0,640545579.0,627502483.0,614037700.0,600413466.0,586968786.0,572999405.0,558762145.0,544223674.0
42284.8844902996,42686.8000524926,43713.8141242308,47787.2412984884,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493,43070.4983595888,41059.1688090547
5.0,4.8,4.7,4.5,4.5,4.4,4.4,4.3,4.3,4.2
63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67215293.0
11658599.0,11569870.0,11477678.0,11392615.0,11313292.0,11228768.0,11135542.0,11033746.0,10926403.0,10819646.0
3643.04717619274,3694.35933980214,3623.92724054274,3491.63749125449,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.20153132694,3869.58842704537
32.5,31.2,30.0,28.8,27.7,26.6,25.6,24.6,23.8,23.0
245115988.0,248451714.0,251805314.0,255128076.0,258383257.0,261556386.0,264650969.0,267670549.0,270625567.0,273523621.0
121099554.0,121055613.0,120979863.0,120841413.0,120631391.0,120344709.0,119995396.0,119581818.0,119115843.0,118597107.0
1458.10406619579,1443.88243476138,1449.61045069641,1573.88564182956,1605.60544457087,1732.55424231659,1980.66701982802,1996.91508739789,2100.75146060805,1927.70782309335
55.0,52.0,49.0,46.2,43.5,41.0,38.6,36.3,34.4,32.6
1250287939.0,1265780243.0,1280842119.0,1295600768.0,1310152392.0,1324517250.0,1338676779.0,1352642283.0,1366417756.0,1380004385.0
859247883.0,865363321.0,870934216.0,876033415.0,880723742.0,885015936.0,888881381.0,892338114.0,895386227.0,898024053.0
52177.1126832014,49026.0230672702,51533.0345651701,55599.850799684,62012.4849258149,62861.6391157902,69774.0289724953,79107.6049934367,80886.6157387104,85422.5428682266
4.1,4.0,3.9,3.8,3.7,3.6,3.4,3.3,3.2,3.0
4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,4985674.0
1752249.0,1750490.0,1750530.0,1754105.0,1761447.0,1771980.0,1781281.0,1792632.0,1805722.0,1812143.0
48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39400.7393559257,38891.0862716856,39808.1685608793,40777.6086970512,40193.2524448357
3.2,3.0,2.9,2.8,2.7,2.7,2.6,2.6,2.5,2.5
127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,126994511.0,126785797.0,126529100.0,126264931.0,125836021.0
11416765.0,11297719.0,11182024.0,11067921.0,10958283.0,10849141.0,10732418.0,10608200.0,10482515.0,10341204.0
38387.6270784076,39973.3807587223,42976.6495882584,44572.8987536626,38630.7265886928,40080.4941137172,42992.8952738896,43306.0700032372,42755.2162634522,41441.4666667011
6.0,5.9,5.8,5.7,5.5,5.4,5.2,5.0,4.9,4.7
4384000.0,4408100.0,4442100.0,4516500.0,4609400.0,4714100.0,4813600.0,4900600.0,4979300.0,5084300.0
609376.0,610037.0,612077.0,619619.0,629598.0,641118.0,651473.0,659719.0,666479.0,676263.0
5492.12149993341,5860.58147053475,6168.26135569944,5951.88348654008,5840.05306687798,5993.30551610045,6593.81835157138,7296.87960772339,7817.00967118918,7186.87409206525
13.0,12.4,11.8,11.3,10.8,10.3,9.9,9.4,9.0,8.7
67518379.0,67835969.0,68144519.0,68438748.0,68714519.0,68971313.0,69209817.0,69428454.0,69625581.0,69799978.0
37339014.0,37007913.0,36666521.0,36311547.0,35941816.0,35556091.0,35158587.0,34749636.0,34330981.0,33901849.0
49882.5581321495,51602.9310457907,53106.5367672165,55049.9883272312,56863.3714957652,58021.4004997125,60109.6557260477,63064.4184096731,65279.5290260953,63206.5210767941
7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.4,6.3
311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,331501080.0
59375348.0,59263241.0,59106371.0,58955597.0,58788250.0,58598755.0,58333412.0,57994170.0,57592357.0,57469027.0
